,Order ID,Order Status,Category Name,Total Cost Price,Total Price,Sub Total,Payment Method,Customer ID,Redeemed Loyalty Points,Consumed Loyalty Points,Last Used Platform,Created At,Loyalty Points,Task_ID,Task_Type,Rating,Grossmargin,net_revenue,COMPLETED,DISPATCHED,ORDERED,Salt & Seasoning,Vegetables,Rice & Cereals,Cooking Fat & Oil,Noodles & Spaghetti,Packaging,Beverages,Spreads,Cleaning & Hygiene,Beer & Bitters,Wine
0,11262518,ORDERED,Flour & Sugar,101850,104250,104575,CASH,4645484,-,-,WEB,2021-12-02T20:39:27.000Z,2202,368032956,Delivery,0,3.70144877604508,387079.00575491425,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,11262518,ORDERED,Flour & Sugar,101850,104250,104575,CASH,4645484,-,-,WEB,2021-12-02T20:39:27.000Z,2202,368032956,Delivery,0,3.70144877604508,387079.00575491425,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,11262518,ORDERED,Spreads,300,325,104575,CASH,4645484,-,-,WEB,2021-12-02T20:39:27.000Z,2202,368032956,Delivery,0,3.70144877604508,387079.00575491425,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,11262518,ORDERED,Spreads,300,325,104575,CASH,4645484,-,-,WEB,2021-12-02T20:39:27.000Z,2202,368032956,Delivery,0,3.70144877604508,387079.00575491425,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,11148290,COMPLETED,Flour & Sugar,203700,208500,208500,CASH,4645484,-,417,WEB,2021-12-02T20:39:27.000Z,2202,365593342,Delivery,0,3.70144877604508,771752.0698053992,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,11144281,CANCELLED,Flour & Sugar,203700,210000,210000,CASH,4645484,-,-,WEB,2021-12-02T20:39:27.000Z,2202,365489406,Delivery,0,3.70144877604508,777304.2429694667,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,11014300,COMPLETED,Flour & Sugar,203700,210000,210000,CASH,4645484,300,420,WEB,2021-12-02T20:39:27.000Z,2202,363090862,Delivery,0,3.70144877604508,777304.2429694667,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,10869119,COMPLETED,Flour & Sugar,202700,208500,208500,CASH,4645484,-,417,WEB,2021-12-02T20:39:27.000Z,2202,361153197,Delivery,0,3.70144877604508,771752.0698053992,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,10753844,COMPLETED,Flour & Sugar,204500,208500,208500,CASH,4645484,-,417,WEB,2021-12-02T20:39:27.000Z,2202,358857913,Delivery,0,3.70144877604508,771752.0698053992,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,10604896,COMPLETED,Flour & Sugar,204500,208500,208500,CASH,4645484,-,417,WEB,2021-12-02T20:39:27.000Z,2202,355620265,Delivery,0,3.70144877604508,771752.0698053992,1,0,0,0,0,0,1,0,0,0,0,0,0,0
